,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18
MKN1,0.16115499,-0.4435736,-0.089717634,-0.35617787,-0.030351914,-0.47584316,0.6517886,-0.03918077,0.07649587,0.12890024,0.076105945,-0.20259273,-0.5087127,-0.16815914,-0.30815297,-0.16906723,0.32452944,0.1677628,-0.0009432286
NCI-H1792,-0.41819203,-0.84690183,0.09816849,-0.8197849,-0.12482014,-0.36390397,0.95204616,0.37563375,-0.15234499,-0.22857402,0.08893522,0.042100094,-0.43579072,0.013825294,-0.48590887,0.003911156,-0.39067474,-0.1776988,0.16927212
KCL-22,0.4216719,0.79075617,0.6872449,-0.4687147,0.2202899,2.4962173,0.47134304,0.91592926,-1.56268,-3.2090054,0.05124961,1.8364211,1.3770757,-0.6674439,0.15862592,3.1536055,-1.3301105,-0.76600856,-0.2995069
OC 314,0.13653281,-0.20234013,-0.33751705,-0.3413524,0.08646946,-0.06546962,0.32542968,-0.014919832,-0.34260982,0.13781029,-0.35134423,-0.42462838,-0.15689337,-0.0649285,-0.12986515,0.059884083,-0.06008225,0.3758102,0.06147859
RT-112,0.45803273,0.33443183,-0.6910844,0.51852715,0.1075653,0.8883015,-0.34869567,-0.43381712,-0.4678595,0.40692487,-1.1726052,-0.22919664,0.7818765,-0.66867405,-0.8075459,0.17753157,-0.076657824,-0.0666185,-0.5385909
NCI-H1963,0.04828489,1.8307978,0.20894492,3.542893,1.6874547,-1.3172905,0.5792755,1.0150592,2.5845008,-0.6628905,0.2996714,-1.4169304,0.12523685,-0.19895889,-0.14289737,-0.4996497,1.5487473,0.9720205,-0.16120455
NCI-H661,-0.08079933,-0.2747737,-0.12204006,-0.48111117,-0.3727553,-0.13959622,0.8232164,0.06056729,-0.09826568,-0.15981197,0.09520566,0.09046145,-0.83991575,0.031643346,-0.14196828,0.30961356,-0.34731004,0.28315365,-0.097750835
HEC-108,0.27176148,0.3264929,-0.28371674,0.37062156,0.14231583,-0.43205792,-0.8974434,-0.98282915,-0.6134656,1.3793354,-1.0055523,-1.6490976,-0.085846566,-0.23056377,0.0030718409,-0.5103241,1.171225,1.034929,0.36401165
Ri-1,-2.778078,1.4737194,1.3990369,-1.5778323,2.5462518,5.9226584,2.6613064,4.4767475,-0.89765537,-10.073799,-1.306681,5.5528564,2.9966538,-3.384026,-3.33241,6.9868336,-6.618151,-2.279413,-0.5267587
JL-1,0.25564164,-1.0434496,-0.24833229,-0.63452256,-0.17213665,-1.7205746,1.0691309,0.13397545,0.17159271,1.0277615,0.336704,-1.2144308,-1.5716925,0.06582402,-0.041816667,-1.033514,1.2137808,0.6154308,-0.0072811246
NCI-H1930,0.23938224,1.4951701,0.13717297,2.8253844,1.3461668,-1.0452327,0.5814959,0.7090218,1.7751715,-0.38336492,0.26012313,-1.2134006,0.060941346,-0.017053604,-0.047050253,-0.4102249,1.218167,1.0171101,-0.22791384
Panc 08.13,-0.11941427,0.73780996,-0.16381164,0.631501,0.18077748,0.8824972,-0.28025943,-0.2746401,-0.2525121,0.5677557,-1.3552736,-0.7369484,0.76691043,-0.58399355,-1.013932,0.2243408,-0.34936666,0.33432424,-0.49191582
JHUEM-1,-0.012324095,0.65240574,-0.23286058,0.781663,0.32785955,-0.017367005,-0.8108576,-1.2974758,-0.8955808,1.1909918,-1.2518144,-1.2235374,0.3977743,-0.55862904,-0.24514079,-0.29496217,0.7447189,0.7222146,0.10521102
HK-2 [Human kidney],0.9150416,-0.26157025,-0.8295952,0.77532923,0.3355238,-2.1547992,0.19089739,-0.61459166,0.6080635,2.2609272,-0.22205888,-2.6305547,-1.2592508,0.6418443,0.48694116,-1.6426405,1.9375764,1.738157,-0.08901201
JJN-3,-0.79079443,1.2718232,0.75518215,-0.54867166,1.2636554,2.798688,0.7908469,2.0223567,-0.7973846,-4.546073,0.16344799,2.324195,1.8734922,-1.4622813,-0.95808965,4.356593,-2.6974301,-0.8578576,-0.43970162
HCC1419,0.7150775,1.6642393,0.067283094,2.3612041,0.14359434,-0.3433242,-1.5576231,-1.3317254,-0.46441203,2.140934,-0.84174526,-2.0040524,0.7701648,-0.36691245,0.0978588,-0.8236092,1.5943058,0.87204444,0.21708049
NCI-H2029,0.64606166,2.4672942,0.3717342,4.25782,1.4451685,-1.5071626,-0.19409111,0.53195864,1.9706564,0.53086877,-0.085498095,-1.8530889,0.7621543,-0.0053987205,-0.21686792,-0.8782557,1.7596245,1.2871826,-0.19317785
KU-19-19,-0.21742195,0.107446365,0.002560459,0.40492716,0.11378966,-0.50082284,0.104724705,-0.46259877,-0.36423314,0.53938806,-0.59266055,-0.6572232,-0.023354545,-0.35257939,-0.0749211,-0.3256867,0.71323574,-0.24273407,0.4259392
