target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,rna,ADAP1,0.00042727135665216457,IntegratedGradients
Erlotinib,0,,rna,IFI16,0.0006937554115980483,IntegratedGradients
Erlotinib,0,,rna,VAMP8,0.0004314325297938534,IntegratedGradients
Erlotinib,0,,rna,GATA3,0.0005197918289737219,IntegratedGradients
Erlotinib,0,,rna,POU4F3,0.0004456521276378522,IntegratedGradients
Erlotinib,0,,rna,SNAI2,0.0005494261425632612,IntegratedGradients
Erlotinib,0,,rna,TCF4,0.0005810216647054222,IntegratedGradients
Erlotinib,0,,rna,FERMT1,0.0005784546374439309,IntegratedGradients
Erlotinib,0,,rna,SSH3,0.0005675978574470013,IntegratedGradients
Erlotinib,0,,rna,ANXA3,0.0006158129272606508,IntegratedGradients
Erlotinib,0,,rna,HCLS1,0.0004993147845336343,IntegratedGradients
Erlotinib,0,,rna,LSP1,0.00029367900580780853,IntegratedGradients
Erlotinib,0,,rna,TOM1L1,0.0005301124861953909,IntegratedGradients
Erlotinib,0,,rna,DKK3,0.0006003705851577824,IntegratedGradients
Erlotinib,0,,rna,ITGA5,0.0006860169192421817,IntegratedGradients
Erlotinib,0,,rna,EPPK1,0.0010938008814235694,IntegratedGradients
Erlotinib,0,,rna,ANXA2P3,0.0008045789471726034,IntegratedGradients
Erlotinib,0,,rna,HNF1B,0.001074355467080945,IntegratedGradients
Erlotinib,0,,rna,PLEK2,0.00043001483929329377,IntegratedGradients
Erlotinib,0,,rna,ARHGEF5,0.00048605649945874304,IntegratedGradients
Erlotinib,0,,rna,FOXA1,0.0006304345532580542,IntegratedGradients
Erlotinib,0,,rna,LAMB2,0.00072747864549201,IntegratedGradients
Erlotinib,0,,rna,AP1M2,0.00042844847565612576,IntegratedGradients
Erlotinib,0,,rna,ELMO3,0.001216136630684495,IntegratedGradients
Erlotinib,0,,rna,DEF6,0.0011957310525495563,IntegratedGradients
Erlotinib,0,,rna,DOCK2,0.0004516330297666265,IntegratedGradients
Erlotinib,0,,rna,TIMP2,0.0004369661408105906,IntegratedGradients
Erlotinib,0,,rna,FAT2,0.0004526284700156287,IntegratedGradients
Erlotinib,0,,rna,COL5A1,0.0006982162881396962,IntegratedGradients
