,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36
OC 314,4.1922007,62.308105,33.246807,-22.178257,39.5264,18.73187,-52.974514,-54.965893,65.811676,-49.9505,-85.010414,-7.345058,20.326965,47.185528,42.924908,-49.69182,1.4137787,59.986877,13.772028,-78.28817,19.341381,33.5194,-13.033913,-18.453178,-47.25246,-37.478477,-49.83785,69.40669,46.91575,46.98093,8.89833,-13.530586,1.7488344,-45.310833,-65.467735,-40.395794,2.262718
BICR 31,-9.8703785,102.959854,123.75146,-31.501217,31.830208,10.881803,-110.31901,-132.10185,107.40714,-81.028145,-200.09433,-33.26261,0.5370494,104.24298,128.27296,-86.08564,71.15497,49.453957,71.77088,-175.96082,1.5279121,108.82771,-48.91431,-43.577442,-134.64453,-74.78777,-93.71177,152.83777,83.64907,68.45512,-20.443375,-75.91663,-9.945726,-90.484215,-84.57727,-21.10856,17.574146
NCI-H1793,-3.8906143,74.144585,64.08571,-25.91798,38.09814,27.897873,-68.84492,-58.887745,45.193516,-52.080425,-99.98789,-19.296175,25.401035,53.46309,66.44494,-57.66979,30.134197,55.273525,22.984129,-105.97607,22.958815,38.198112,-23.064837,-21.315672,-71.149994,-51.127552,-78.072784,79.53756,27.998156,44.410954,20.647102,-27.68775,-11.408874,-53.343445,-75.64241,-50.687073,-4.3269076
COR-L23,-9.084045,76.31134,89.357346,-38.927235,48.034122,5.8432307,-88.581314,-100.80782,104.98693,-75.21307,-153.98727,-25.44495,9.611389,100.80255,80.788994,-89.53299,-17.978403,45.649734,48.001724,-126.916176,28.033955,118.41327,-46.640816,-57.745365,-109.494675,-68.07049,-74.839005,115.802216,121.13453,76.13994,-15.230962,-25.865887,14.560755,-79.08309,-53.8801,-21.382776,-2.6886837
HOS,48.3072,80.91993,57.483093,-32.52401,83.06855,37.57598,-82.03104,-4.4198737,19.584425,-84.30869,-1.5815432,-24.429813,32.52679,43.935112,74.81928,-62.272285,-5.797059,42.927406,-21.357885,-88.69118,66.269745,5.241377,-34.55727,-31.697803,-40.53314,-87.22851,-70.32697,29.424566,29.234646,10.790631,36.755657,-1.7640061,11.189058,-96.14321,-117.93243,-101.45969,-62.049175
NCI-H2286,8.773584,71.23812,27.897232,-39.719112,62.227947,13.071851,-57.24253,-13.910259,27.832405,-62.706516,-40.909897,-23.279064,46.937122,38.199585,42.096333,-50.838512,-22.944384,68.0906,-14.53874,-72.197876,53.136887,10.562797,-25.49822,-24.527672,-41.414772,-58.460445,-70.332245,46.219543,28.014297,25.446873,50.761524,12.684179,9.750081,-56.57225,-87.09142,-87.57062,-38.377262
LMSU,56.661697,132.10252,96.63915,-24.968214,120.61321,85.260315,-132.11952,-5.314742,15.254235,-103.33426,7.659897,-35.093784,59.76785,81.88368,115.06717,-108.663795,36.362965,56.095833,-39.65031,-142.80563,98.5774,1.3277959,-36.388084,-22.221724,-88.65779,-118.88802,-119.804955,52.796055,24.008533,8.3320875,52.268017,-25.447262,-0.756672,-141.23613,-172.73305,-150.69592,-82.533424
NCI-H854,1.769527,111.266136,64.09776,-84.88625,95.307846,6.178643,-125.93974,-136.53847,111.99861,-133.4072,-163.2179,-77.1948,50.747894,111.28411,77.821754,-117.86959,-84.14473,67.2346,18.203335,-119.292076,68.53314,157.62312,-81.21151,-119.22652,-105.72869,-87.661736,-115.77393,144.5504,159.80226,113.492744,-0.08671424,43.80479,61.143673,-103.20298,-60.331623,-70.51108,-41.4788
SU-DHL-6,43.646183,181.40057,-191.66411,-142.64642,347.08182,55.96353,-203.26112,31.298077,-28.350092,-416.72845,117.034035,-181.80484,350.7083,301.7766,-65.51461,-322.4066,-518.57825,154.00273,-213.21855,-2.2158167,427.12164,407.89456,-166.03072,-282.26993,-109.1726,-248.02206,-231.42099,286.1255,390.059,93.82312,31.77561,301.83008,344.62802,-140.8183,-87.28512,-263.33405,-321.25305
KMS-21-BM,18.853746,153.60632,-111.482216,-37.473278,228.51343,76.69213,-161.4262,17.89336,-64.668785,-249.97044,100.93479,-113.3915,211.3278,214.07394,-22.0973,-212.23051,-289.43542,77.69919,-172.24998,-24.249603,243.6557,233.4729,-92.8479,-170.18842,-43.836143,-157.52597,-167.54573,150.82762,188.35628,16.28439,11.86107,204.11572,188.91226,-132.73155,-54.17737,-213.8598,-234.57089
Hs 675.T,118.83218,231.01036,199.29262,-34.5493,212.7926,194.8489,-242.57616,-25.382233,19.968243,-188.3914,45.349567,-74.003265,111.05396,152.22981,210.74335,-208.52005,97.558205,62.63071,-59.95222,-266.705,175.57645,24.864902,-74.845436,-55.663837,-173.78563,-209.94319,-212.68277,104.08875,49.193516,-3.0726027,60.998116,-69.894325,2.4879427,-249.64763,-284.5037,-241.92807,-136.69919
KMS-28BM,16.319246,110.93069,-101.55141,-36.915848,162.86499,41.934105,-106.754845,21.45246,-65.95942,-182.45848,77.981606,-82.99145,157.87431,145.65611,-24.44965,-138.74515,-230.36256,64.356384,-135.24844,0.86053497,176.31416,163.06134,-71.343155,-126.66984,-16.536766,-115.826385,-130.53992,104.03889,135.72398,16.45422,27.711292,166.59856,138.59663,-89.63444,-37.320087,-170.28183,-181.34189
